,Unnamed: 0,Unnamed: 1,z,y,x,z_corr,y_corr,x_corr,r,theta,phi,phi_bin,theta_bin,d_i,d_o
3921,786,333301,51,759,418,-461.4970383407348,145.3151776607435,-64.1012918930616,488.0624887022179,2.810136768201752,1.986240349331949,29,25,51.56549233741495,8.94427190999916
3922,786,354538,54,764,409,-458.4970383407348,148.5651776607435,-69.9512918930616,487.01573836797286,2.7976779247571555,2.010849766934661,29,25,53.4696175411794,7.681145747868608
3923,786,386951,59,774,404,-453.4970383407348,155.0651776607435,-73.2012918930616,484.833169493991,2.780092167944394,2.0118496110314403,29,25,55.74047003748713,6.4031242374328485
3924,786,374131,57,773,409,-455.4970383407348,154.4151776607435,-69.9512918930616,486.01932293550647,2.7853087458755104,1.996148788817184,29,25,55.74047003748713,6.164414002968976
3925,786,340555,52,772,431,-460.4970383407348,153.76517766074352,-55.65129189306159,488.6699484017765,2.800374639985419,1.9180540262350512,29,25,55.19057890618652,6.4031242374328485
3926,787,278629,43,739,418,-469.4970383407348,132.3151776607435,-64.1012918930616,491.9794211879954,2.8381122934469327,2.0219340987527348,29,26,48.54894437575342,9.899494936611664
3927,787,299339,46,750,436,-466.4970383407348,139.4651776607435,-52.40129189306159,489.7100345640076,2.8324622501187138,1.930207099083177,29,26,48.14561246884289,11.357816691600547
3928,787,319310,49,757,427,-463.4970383407348,144.01517766074352,-58.25129189306159,488.8385100976587,2.818190835246876,1.9551589926592152,29,26,50.547007824400445,9.643650760992957
3929,787,272014,42,736,416,-470.4970383407348,130.3651776607435,-65.4012918930616,492.5848877251529,2.840993662001171,2.0357851299632927,29,26,48.45616575834287,9.899494936611664
3930,787,278591,43,737,417,-469.4970383407348,131.01517766074352,-64.75129189306159,491.7165602153521,2.8398240517418247,2.0298152086777668,29,26,47.81213235152768,10.488088481701515
3931,788,244662,38,732,444,-474.4970383407348,127.7651776607435,-47.2012918930616,493.6591354094281,2.862056589203352,1.9246816924111263,29,27,45.2658811910251,12.449899597988733
3932,788,258457,40,737,427,-472.4970383407348,131.01517766074352,-58.25129189306159,493.7728638002018,2.8469697658768838,1.9891629341524537,29,27,48.518037882832814,9.69535971483266
3933,788,258571,40,741,446,-472.4970383407348,133.6151776607435,-45.90129189306159,493.1667015721255,2.851047612429011,1.901698784769417,29,27,47.391982444291145,10.954451150103322
3934,788,265406,41,738,435,-471.4970383407348,131.6651776607435,-53.0512918930616,492.4018843831147,2.849159084644305,1.9538223641999708,29,27,46.75467891024384,11.575836902790224
3935,788,231105,36,731,448,-476.4970383407348,127.11517766074353,-44.60129189306159,495.1736777916857,2.866068190476727,1.9082487198351563,29,27,46.01086828130936,11.575836902790224
3936,789,165024,26,698,437,-486.4970383407348,105.66517766074352,-51.75129189306159,500.5224213728928,2.9043023583683603,2.02622388248147,29,28,42.731721238442994,12.083045973594572
3937,789,204526,32,715,451,-480.4970383407348,116.7151776607435,-42.65129189306159,496.305318579948,2.8885216442463206,1.9211510652749364,29,28,42.17819341792628,13.96424004376894
3938,789,185273,29,711,451,-483.4970383407348,114.1151776607435,-42.65129189306159,498.60885727888166,2.894763529527717,1.9284763790145247,29,28,43.23193264243457,12.649110640673518
3939,789,165238,26,706,455,-486.4970383407348,110.8651776607435,-40.0512918930616,500.5742321717708,2.903874767877728,1.9174679978260407,29,28,43.37049688440288,12.083045973594572
3940,789,211112,33,718,436,-479.4970383407348,118.66517766074352,-52.40129189306159,496.7340632157752,2.877383348878962,1.9866340741368584,29,28,44.68780594300866,11.74734012447073
3941,790,90236,14,687,445,-498.4970383407348,98.5151776607435,-46.5512918930616,510.2661660750445,2.9264001983264354,2.0122267312257094,29,29,48.42520005121301,5.196152422706632
3942,790,113992,18,684,455,-494.4970383407348,96.5651776607435,-40.0512918930616,505.4268101780042,2.933250495449625,1.963961014653837,29,29,42.44997055358225,11.224972160321824
3943,790,151775,24,700,458,-488.4970383407348,106.9651776607435,-38.10129189306159,501.52030282291065,2.913203764152517,1.9129862709638423,29,29,42.44997055358225,12.409673645990855
