filename_prefix,Label,0,1,2,3,4,5
C04_px-0816_py-1668,48,0.984812,1.0,0.964692,0.986594,0.945938,0.950377
C04_px-0816_py-1668,49,0.095696,1.0,0.13836,0.111601,0.063356,0.069007
C04_px-0816_py-1668,50,0.955391,1.0,0.950089,0.978856,0.895793,0.892386
C04_px-0816_py-1668,51,0.99287,1.0,0.989274,0.989413,0.975216,0.969327
C04_px-0816_py-1668,52,0.992281,1.0,0.974495,0.983096,0.911461,0.907257
C04_px-0816_py-1668,53,0.983589,1.0,0.977061,0.987021,0.938371,0.936161
C04_px-0816_py-1668,54,0.882171,1.0,0.94999,0.959884,0.884513,0.8764
C04_px-0816_py-1668,55,0.991533,1.0,0.983725,0.989624,0.978296,0.98095
C04_px-0816_py-1668,56,0.991328,1.0,0.980464,0.987108,0.946852,0.923702
C04_px-0816_py-1668,57,0.99141,1.0,0.98298,0.984718,0.96451,0.942189
C04_px-0816_py-1668,58,0.99108,1.0,0.987006,0.993424,0.961588,0.975998
C04_px-0816_py-1668,59,0.988032,1.0,0.978908,0.990131,0.944919,0.982354
C04_px-0816_py-1668,60,0.986457,1.0,0.972546,0.984587,0.933943,0.905509
C04_px-0816_py-1668,61,0.990719,1.0,0.974453,0.991811,0.953693,0.949147
C04_px-0816_py-1668,62,0.988391,1.0,0.986724,0.991209,0.964744,0.983339
C04_px-0816_py-1668,63,0.985306,1.0,0.976827,0.973137,0.979452,0.966866
C04_px-0816_py-1668,64,0.859524,1.0,0.953839,0.9733,0.89689,0.904501
C04_px-0816_py-1668,65,0.949928,1.0,0.903501,0.945825,0.814089,0.836179
C04_px-0816_py-1668,66,0.989051,1.0,0.958656,0.973406,0.900647,0.894635
C04_px-0816_py-1668,67,0.990236,1.0,0.972862,0.987514,0.948952,0.930562
C04_px-0816_py-1668,68,0.985262,1.0,0.977366,0.993786,0.928511,0.964045
C04_px-0816_py-1668,69,0.92707,1.0,0.950127,0.979524,0.898079,0.905057
C04_px-0816_py-1668,70,0.939686,1.0,0.937685,0.978844,0.913136,0.912566
C04_px-0816_py-1668,71,0.993927,1.0,0.973626,0.985303,0.938083,0.897719
C04_px-0816_py-1668,72,0.975366,1.0,0.951554,0.955062,0.952672,0.95441
C04_px-0816_py-1668,73,0.991429,1.0,0.979848,0.987439,0.960258,0.968898
C04_px-0816_py-1668,74,0.960685,1.0,0.942117,0.959271,0.864704,0.882651
C04_px-0816_py-1668,75,0.95436,1.0,0.9601,0.978769,0.89755,0.872277
C04_px-0816_py-1668,76,0.986625,1.0,0.9718,0.98873,0.948036,0.948099
C04_px-0816_py-1668,77,0.947932,1.0,0.965598,0.980541,0.92537,0.923423
C04_px-0816_py-1668,78,0.987136,1.0,0.985779,0.992415,0.984952,0.974693
C04_px-0816_py-1668,79,0.98881,1.0,0.988121,0.993662,0.941856,0.969518
C04_px-0816_py-1668,80,0.985468,1.0,0.982276,0.991597,0.958984,0.984826
C04_px-0816_py-1668,81,0.990252,1.0,0.969815,0.981005,0.946145,0.920934
C04_px-0816_py-1668,82,0.985353,1.0,0.956018,0.97585,0.924641,0.954841
C04_px-0816_py-1668,83,0.98345,1.0,0.971215,0.985967,0.973921,0.964909
C04_px-0816_py-1668,84,0.993291,1.0,0.978907,0.991986,0.931874,0.914772
C04_px-0816_py-1668,85,0.983435,1.0,0.952172,0.993292,0.929594,0.953546
C04_px-0816_py-1668,86,0.969748,1.0,0.961977,0.968663,0.95325,0.964922
C04_px-0816_py-1668,87,0.987722,1.0,0.97021,0.982816,0.91592,0.900302
C04_px-0816_py-1668,88,0.94301,1.0,0.92234,0.949272,0.830099,0.845918
C04_px-0816_py-1668,89,0.98788,1.0,0.96064,0.976351,0.915219,0.892471
C04_px-0816_py-1668,90,0.985998,1.0,0.983861,0.983481,0.959829,0.932311
C04_px-0816_py-1668,91,0.927478,1.0,0.950875,0.969196,0.934706,0.912427
C04_px-0816_py-1668,92,0.986506,1.0,0.962998,0.987858,0.950627,0.95349
C04_px-0816_py-1668,93,0.988487,1.0,0.974413,0.987923,0.938419,0.890911
