filename_prefix,Label,0,1,2,3,4,5
B07_px+1257_py-0474,78,0.989629,1.0,0.992508,0.957893,0.943215,0.933512
B07_px+1257_py-0474,79,0.979762,1.0,0.990517,0.916986,0.900871,0.886418
B07_px+1257_py-0474,80,0.988938,1.0,0.992632,0.914254,0.885001,0.867371
B07_px+1257_py-0474,81,0.994257,1.0,0.99349,0.973692,0.95203,0.928278
B07_px+1257_py-0474,82,0.98979,1.0,0.994949,0.956098,0.919665,0.901355
B07_px+1257_py-0474,83,0.990199,1.0,0.993076,0.960292,0.960405,0.9494
B07_px+1257_py-0474,84,0.966986,1.0,0.987678,0.931009,0.899887,0.887579
B07_px+1257_py-0474,85,0.990401,1.0,0.989677,0.955808,0.948545,0.920116
B07_px+1257_py-0474,86,0.978327,1.0,0.985322,0.954698,0.939756,0.910308
B07_px+1257_py-0474,87,0.967903,1.0,0.991321,0.963556,0.929284,0.906799
B07_px+1257_py-0474,88,0.986364,1.0,0.990655,0.951431,0.923695,0.916293
B07_px+1257_py-0474,89,0.993503,1.0,0.99488,0.968214,0.951143,0.940161
B07_px+1257_py-0474,90,0.991072,1.0,0.990487,0.958333,0.937271,0.939234
B07_px+1257_py-0474,91,0.991141,1.0,0.995709,0.980335,0.966803,0.958725
B07_px+1257_py-0474,92,0.986575,1.0,0.990733,0.960878,0.937382,0.926743
B07_px+1257_py-0474,93,0.99419,1.0,0.995332,0.967673,0.955414,0.953492
B07_px+1257_py-0474,94,0.991993,1.0,0.992635,0.96379,0.947579,0.933206
B07_px+1257_py-0474,95,0.983082,1.0,0.992176,0.949763,0.930552,0.932111
B07_px+1257_py-0474,96,0.993104,1.0,0.98905,0.971688,0.936235,0.917842
B07_px+1257_py-0474,97,0.992106,1.0,0.994743,0.980859,0.980898,0.970682
B07_px+1257_py-0474,98,0.995068,1.0,0.989377,0.965714,0.956369,0.930683
B07_px+1257_py-0474,99,0.987509,1.0,0.993417,0.957007,0.947048,0.920966
B07_px+1257_py-0474,100,0.981467,1.0,0.991325,0.952411,0.917708,0.917032
B07_px+1257_py-0474,101,0.990651,1.0,0.990728,0.926227,0.907522,0.874646
B07_px+1257_py-0474,102,0.97646,1.0,0.992791,0.944002,0.926072,0.917224
B07_px+1257_py-0474,103,0.976272,1.0,0.990305,0.928226,0.92035,0.91649
B07_px+1257_py-0474,104,0.98832,1.0,0.988398,0.9468,0.94162,0.929381
B07_px+1257_py-0474,105,0.990912,1.0,0.994613,0.957327,0.946881,0.919806
B07_px+1257_py-0474,106,0.98447,1.0,0.989018,0.971772,0.950965,0.937387
B07_px+1257_py-0474,107,0.970625,1.0,0.988923,0.940386,0.933373,0.925064
B07_px+1257_py-0474,108,0.992442,1.0,0.993067,0.955249,0.969611,0.960681
B07_px+1257_py-0474,109,0.995292,1.0,0.9947,0.97334,0.943676,0.928892
B07_px+1257_py-0474,110,0.986687,1.0,0.995231,0.97176,0.965348,0.947689
B07_px+1257_py-0474,111,0.990327,1.0,0.990357,0.968293,0.94553,0.942319
B07_px+1257_py-0474,112,0.980331,1.0,0.99272,0.963178,0.941851,0.940261
B07_px+1257_py-0474,113,0.991906,1.0,0.997557,0.979143,0.978077,0.973203
B07_px+1257_py-0474,114,0.979271,1.0,0.991552,0.950463,0.930448,0.920205
B07_px+1257_py-0474,115,0.987612,1.0,0.992711,0.968305,0.962576,0.942601
B07_px+1257_py-0474,116,0.990861,1.0,0.994872,0.976097,0.958014,0.931796
B07_px+1257_py-0474,117,0.967886,1.0,0.984149,0.941184,0.908813,0.922673
B07_px+1257_py-0474,118,0.968765,1.0,0.984101,0.96232,0.954204,0.937173
B07_px+1257_py-0474,119,0.981644,1.0,0.990382,0.946648,0.927005,0.916846
